Subject,Task,Trial,Valence,Arousal
sub-01,classicalMusic,1,8.065085873116822e-10,1.3225220338684798
sub-01,classicalMusic,2,1.5629785958319392e-10,2.278444945006859
sub-01,classicalMusic,3,1.2831088146995122e-10,3.9273587270428703
sub-01,classicalMusic,4,1.206070496676336e-10,2.066479868716796
sub-01,classicalMusic,5,1.3037629583304365e-10,4.974387124083539
sub-01,classicalMusic,6,1.4588375338328241e-10,3.072119030872629
sub-01,classicalMusic,7,1.473267126001484e-10,5.624630738048631
sub-01,classicalMusic,8,1.154004767634557e-10,6.966376135118937
sub-01,classicalMusic,9,1.4565021562992527e-09,1.4097322742100928
sub-01,classicalMusic,10,1.3058424247120743e-10,9.677280056541253
sub-01,classicalMusic,11,1.2755000834466672e-10,10.495770840414158
sub-01,classicalMusic,12,1.0988203574491125e-10,12.360847082359221
sub-01,genMusic01,1,3.5321903061988607e-12,55.815514595825945
sub-01,genMusic01,2,3.529159349229973e-12,55.86183463938644
sub-01,genMusic01,3,2.098807886520069e-10,7.244081851821733
sub-01,genMusic01,4,2.0980041266806e-10,7.233031003249181
sub-01,genMusic01,5,3.596543615015577e-11,2.8153769878466637
sub-01,genMusic01,6,3.6150436012392005e-11,2.8236851341578677
sub-01,genMusic01,7,6.3710783089028e-10,2.4991561851805466
sub-01,genMusic01,8,6.385841957746671e-10,2.5018620392405553
sub-01,genMusic01,9,6.432346989239208e-12,7.082742700934653
sub-01,genMusic01,10,6.472329113452475e-12,7.061841657482645
sub-01,genMusic01,11,1.9300582287923076e-11,2.124040417368693
sub-01,genMusic01,12,1.934515637124449e-11,2.117620846824136
sub-01,genMusic01,13,2.6926862489436455e-09,0.7763681892503791
sub-01,genMusic01,14,2.7054095972805833e-09,0.7724839278100317
sub-01,genMusic01,15,3.113970530767711e-12,2.579827948566107
sub-01,genMusic01,16,3.1041075793281797e-12,2.584912130775172
sub-01,genMusic01,17,5.394784549194748e-11,2.1066948848800537
sub-01,genMusic01,18,5.397796438669018e-11,2.107073912457004
sub-01,genMusic01,19,3.2986415683690095e-11,6.3386979821458125
sub-01,genMusic01,20,3.293732007877012e-11,6.34058430501016
sub-01,genMusic01,21,9.585365061177314e-10,1.9325297750050316
sub-01,genMusic01,22,9.585365061177314e-10,1.9325297750050316
sub-01,genMusic01,23,4.783684726877636e-10,4.884213133146331
sub-01,genMusic01,24,4.781463519834644e-10,4.876546233562173
sub-01,genMusic02,1,3.134738874879164e-09,3.0911883658836756
sub-01,genMusic02,2,3.1238766665067873e-09,3.103790760702825
sub-01,genMusic02,3,6.180604104671131e-09,9.013960393909795
sub-01,genMusic02,4,6.1689188199484765e-09,9.030958678785646
sub-01,genMusic02,5,7.003434377084147e-10,4.138811921101605
sub-01,genMusic02,6,6.970559293344732e-10,4.153708304477334
sub-01,genMusic02,7,3.4741764870092524e-09,1.435444284618895
sub-01,genMusic02,8,3.4792187576313284e-09,1.4334048321352324
sub-01,genMusic02,9,7.552348463372128e-10,4.216193670290885
sub-01,genMusic02,10,7.596022414408366e-10,4.198417680592923
sub-01,genMusic02,11,7.09905991718859e-10,4.402602943910303
sub-01,genMusic02,12,7.139318302317245e-10,4.385177908205853
sub-01,genMusic02,13,7.441335903758205e-09,8.184949295778312
sub-01,genMusic02,14,7.445991947784478e-09,8.18092551632845
sub-01,genMusic02,15,3.093663602401732e-09,1.5759213354606614
sub-01,genMusic02,16,3.0994239650659356e-09,1.572750215566092
sub-01,genMusic02,17,3.1377301404126278e-09,1.3731671287368399
sub-01,genMusic02,18,3.147918693159106e-09,1.370136308816346
sub-01,genMusic02,19,6.093969269622066e-10,6.824713530020798
sub-01,genMusic02,20,6.074622777285343e-10,6.836894381598409
sub-01,genMusic02,21,5.977232077877669e-09,2.927495851496276
sub-01,genMusic02,22,5.957612700623383e-09,2.935465795806986
sub-01,genMusic02,23,9.655192138597926e-10,5.292537300161711
sub-01,genMusic02,24,9.62249876882608e-10,5.311563759142869
sub-01,genMusic03,1,1.4899618495012068e-09,1.3089215782089023
sub-01,genMusic03,2,1.487541251410246e-09,1.3104564539014447
sub-01,genMusic03,3,3.980394162687661e-09,0.7000734980547207
sub-01,genMusic03,4,3.980394162687661e-09,0.7000734980547207
sub-01,genMusic03,5,6.35791676484505e-10,3.63946556358096
sub-01,genMusic03,6,6.352371180192231e-10,3.641634900848308
sub-01,genMusic03,7,6.214653565742308e-10,3.275489286000785
sub-01,genMusic03,8,6.206905259966741e-10,3.2759965223305487
sub-01,genMusic03,9,6.446878284225771e-10,4.804405203478817
sub-01,genMusic03,10,6.446878284225771e-10,4.804405203478817
sub-01,genMusic03,11,6.016843457708784e-10,4.838880713174037
sub-01,genMusic03,12,6.015061313903155e-10,4.841534358091178
sub-01,genMusic03,13,6.285290024853287e-10,3.409883636190795
sub-01,genMusic03,14,6.290182250216304e-10,3.408501009598516
sub-01,genMusic03,15,5.340574442855297e-10,4.753570354555435
sub-01,genMusic03,16,5.336410853784427e-10,4.754803427930266
sub-01,genMusic03,17,6.647538297605299e-10,5.214355264165477
sub-01,genMusic03,18,6.644932814211146e-10,5.2133913356163655
sub-01,genMusic03,19,5.49079153587516e-10,4.4855771261599715
sub-01,genMusic03,20,5.487599732346606e-10,4.486443196604906
sub-01,genMusic03,21,6.163750645312359e-10,5.184982546972369
sub-01,genMusic03,22,6.163426129084032e-10,5.187637119608675
sub-01,genMusic03,23,6.119761784666782e-10,5.309433347234899
sub-01,genMusic03,24,6.136518148993761e-10,5.3039254915684015
sub-02,classicalMusic,1,1.3556948142981656e-12,0.9326032065356338
sub-02,classicalMusic,2,1.2153453040380578e-12,0.7202634427518027
sub-02,classicalMusic,3,-1.8088469859406218e-14,0.2322525800099984
sub-02,classicalMusic,4,5.712190964207927e-13,0.1863759644482521
sub-02,classicalMusic,5,4.700134876615211e-13,0.14843523301615258
sub-02,classicalMusic,6,2.1883124932617506e-13,0.19618866396917373
sub-02,classicalMusic,7,1.0728360841760063e-12,0.207503386913531
sub-02,classicalMusic,8,1.1884538156689827e-12,0.44251249934183984
sub-02,classicalMusic,9,4.616611089693455e-13,0.8927548111507129
sub-02,classicalMusic,10,5.478743232993411e-13,1.229095420877104
sub-02,classicalMusic,11,1.3849381894213852e-12,3.1527680759338983
sub-02,classicalMusic,12,1.6217019946048722e-12,5.6677754831491844
sub-02,genMusic01,1,-3.927688767616741e-13,0.22182991629176083
sub-02,genMusic01,2,-4.1952235633364416e-13,0.2202742834118962
sub-02,genMusic01,3,-5.173048248244107e-13,0.170044419116195
sub-02,genMusic01,4,-5.191037665921148e-13,0.17014405710098254
sub-02,genMusic01,5,4.63673416969425e-13,0.12223604428336289
sub-02,genMusic01,6,4.612783071710255e-13,0.12241991086336822
sub-02,genMusic01,7,-3.560496047685933e-13,0.1328021129477095
sub-02,genMusic01,8,-3.558967841843399e-13,0.1327856543661243
sub-02,genMusic01,9,1.2133790221749065e-13,0.12883456695217574
sub-02,genMusic01,10,1.2060215808698875e-13,0.1287677123283225
sub-02,genMusic01,11,2.776127690579689e-13,0.09635559096375117
sub-02,genMusic01,12,2.736762081894388e-13,0.09669197728035622
sub-02,genMusic01,13,7.280328346026409e-14,0.18293233730391745
sub-02,genMusic01,14,7.280328346026409e-14,0.18293233730391745
sub-02,genMusic01,15,1.934361274101416e-14,0.16983721633766127
sub-02,genMusic01,16,1.821148335752698e-14,0.1699246464005456
sub-02,genMusic01,17,2.2009632713936123e-13,0.6049037465726451
sub-02,genMusic01,18,2.1985339773235974e-13,0.6047713370304857
sub-02,genMusic01,19,-1.117348111463237e-13,0.16610006453371723
sub-02,genMusic01,20,-1.0850805410076121e-13,0.16607448752586662
sub-02,genMusic01,21,-2.1837299342436965e-13,0.17176191367274785
sub-02,genMusic01,22,-2.1837299342436965e-13,0.17176191367274785
sub-02,genMusic01,23,-2.0516319383099214e-13,0.5650352975439544
sub-02,genMusic01,24,-2.0424850985583237e-13,0.5639590803845264
sub-02,genMusic02,1,1.1652173775231996e-13,0.20211480231272835
sub-02,genMusic02,2,1.154439189818735e-13,0.20212942341912069
sub-02,genMusic02,3,8.32777886784389e-14,0.24302807197026025
sub-02,genMusic02,4,8.367722498646715e-14,0.24282612551649804
sub-02,genMusic02,5,3.1919958456506863e-13,0.1671500690249077
sub-02,genMusic02,6,3.1907747094767403e-13,0.16733412444553294
sub-02,genMusic02,7,-2.8400694089737453e-13,0.16946213123800374
sub-02,genMusic02,8,-2.856087770484994e-13,0.16960737131947026
sub-02,genMusic02,9,-9.495190249369025e-14,0.1691718582786994
sub-02,genMusic02,10,-9.770544547040319e-14,0.16879972472143884
sub-02,genMusic02,11,3.0591005552163363e-13,0.13784539682516747
sub-02,genMusic02,12,3.0591005552163363e-13,0.13784539682516747
sub-02,genMusic02,13,1.2570093858862815e-13,0.17786460165223328
sub-02,genMusic02,14,1.2538607813857698e-13,0.17761511723611084
sub-02,genMusic02,15,1.2509485671400289e-13,0.20384677809266258
sub-02,genMusic02,16,1.248706703873976e-13,0.2039336855618043
sub-02,genMusic02,17,4.010876923311156e-13,0.1427313663158193
sub-02,genMusic02,18,4.005708018154347e-13,0.14282585730669117
sub-02,genMusic02,19,-5.523543168439724e-13,0.16258314900653836
sub-02,genMusic02,20,-5.53466742212563e-13,0.16279456425158026
sub-02,genMusic02,21,1.639026265632275e-13,0.181834130198415
sub-02,genMusic02,22,1.615483348730309e-13,0.18181856589604156
sub-02,genMusic02,23,3.433601111392459e-13,0.24939399891615513
sub-02,genMusic02,24,3.417117445112444e-13,0.24951303557143611
sub-02,genMusic03,1,1.727345244256511e-13,0.23885761446002013
sub-02,genMusic03,2,1.725129960111545e-13,0.23915627790752067
sub-02,genMusic03,3,3.1592158275552085e-13,0.16829878036791712
sub-02,genMusic03,4,3.1400539410040384e-13,0.16824070133231633
sub-02,genMusic03,5,2.0571024514923707e-13,0.23889828979950256
sub-02,genMusic03,6,2.0318723433428416e-13,0.23880801844697358
sub-02,genMusic03,7,5.107380621483905e-13,0.19018531859990978
sub-02,genMusic03,8,5.089179840860312e-13,0.19010884139940606
sub-02,genMusic03,9,6.857718239631166e-14,0.16040572959394273
sub-02,genMusic03,10,6.977354696375707e-14,0.16024513992947978
sub-02,genMusic03,11,2.959958730213678e-13,0.1723563472175681
sub-02,genMusic03,12,2.959958730213678e-13,0.1723563472175681
sub-02,genMusic03,13,5.964147414535323e-13,0.14798360616498718
sub-02,genMusic03,14,5.964238514766998e-13,0.14794560540573296
sub-02,genMusic03,15,7.058943263456403e-13,0.15598077920484515
sub-02,genMusic03,16,7.07864710063836e-13,0.1556962360980477
sub-02,genMusic03,17,1.4026922528486045e-14,0.19985963535104098
sub-02,genMusic03,18,1.546595082004963e-14,0.19991346125388396
sub-02,genMusic03,19,7.769407811717926e-13,0.14594967131944075
sub-02,genMusic03,20,7.768467085929576e-13,0.14592620758419764
sub-02,genMusic03,21,5.111777919519497e-13,0.28749897284940523
sub-02,genMusic03,22,5.114522253760696e-13,0.2876652274071278
sub-02,genMusic03,23,5.385217873775219e-13,0.15993786778461433
sub-02,genMusic03,24,5.395761909227464e-13,0.15990142903567778
sub-03,classicalMusic,1,-1.5960652896277204e-11,2.430123398671558
sub-03,classicalMusic,2,-3.094241579189703e-11,1.0641110709699015
sub-03,classicalMusic,3,-3.9729501617795206e-11,0.7087377956843832
sub-03,classicalMusic,4,-7.84724540908833e-11,0.8776271131298856
sub-03,classicalMusic,5,-3.939237120333383e-11,0.3127250387014146
sub-03,classicalMusic,6,-7.155239128756107e-11,1.1493904409506857
sub-03,classicalMusic,7,-4.955315636176387e-11,0.0379016437424754
sub-03,classicalMusic,8,-4.187785477936784e-11,0.03890613573603021
sub-03,classicalMusic,9,-5.3027219199146576e-11,0.12822443285314636
sub-03,classicalMusic,10,-7.484759405184974e-11,0.09769036649571217
sub-03,classicalMusic,11,-4.211619675341891e-11,0.30343136732937476
sub-03,classicalMusic,12,-3.069749976648854e-11,0.4884410407958928
sub-03,genMusic01,1,-3.1998739557159956e-11,0.26128586367171425
sub-03,genMusic01,2,-3.1989834860308684e-11,0.2612679750464027
sub-03,genMusic01,3,-2.7498572074318887e-11,0.1983107681003512
sub-03,genMusic01,4,-2.7500648302005924e-11,0.1983754790303074
sub-03,genMusic01,5,-3.435387798623179e-11,0.13719349143280216
sub-03,genMusic01,6,-3.4369144615038044e-11,0.13709038978651858
sub-03,genMusic01,7,-1.0624086339835783e-10,0.05842088288232144
sub-03,genMusic01,8,-1.0630029144362047e-10,0.058417840375539445
sub-03,genMusic01,9,-2.704901538790807e-11,0.10269528138196735
sub-03,genMusic01,10,-2.703531481500421e-11,0.10270361455812577
sub-03,genMusic01,11,-2.729105112649774e-11,0.0770084535905133
sub-03,genMusic01,12,-2.7268549229658344e-11,0.07710617706944026
sub-03,genMusic01,13,-2.6658321519783703e-11,0.0937311264215377
sub-03,genMusic01,14,-2.6658321519783703e-11,0.0937311264215377
sub-03,genMusic01,15,-2.7373853581174203e-11,0.10485224913177572
sub-03,genMusic01,16,-2.7371616571190082e-11,0.1048718499773998
sub-03,genMusic01,17,-3.310227407697823e-11,0.140466216008861
sub-03,genMusic01,18,-3.310738858828311e-11,0.14051865574327593
sub-03,genMusic01,19,-3.589596837013153e-11,0.15937846532084757
sub-03,genMusic01,20,-3.591880388168232e-11,0.15934867266480743
sub-03,genMusic01,21,-4.1390269709930286e-11,0.17781952745558374
sub-03,genMusic01,22,-4.1390269709930286e-11,0.17781952745558374
sub-03,genMusic01,23,-4.297765468679972e-11,0.2591372647812413
sub-03,genMusic01,24,-4.301463180459739e-11,0.2590206514182601
sub-03,genMusic02,1,-2.7571550674056923e-11,0.1727071570956823
sub-03,genMusic02,2,-2.7550624405119517e-11,0.17280905355796494
sub-03,genMusic02,3,-2.3404228093227416e-11,0.20057062170281703
sub-03,genMusic02,4,-2.3415537966549182e-11,0.2005796723793084
sub-03,genMusic02,5,-3.5026237555872907e-11,0.08365718189925743
sub-03,genMusic02,6,-3.5046644645369286e-11,0.08361960534611335
sub-03,genMusic02,7,-6.973960425809135e-11,0.9258339121511427
sub-03,genMusic02,8,-6.982226799477926e-11,0.9260341183602171
sub-03,genMusic02,9,-8.099692299693184e-11,6.661651958131729
sub-03,genMusic02,10,-8.114969029680671e-11,6.659076289010885
sub-03,genMusic02,11,-8.522900584376906e-11,0.8066904431990137
sub-03,genMusic02,12,-8.531252156920472e-11,0.8069078196294625
sub-03,genMusic02,13,-2.7429598929746914e-10,0.6412352646286089
sub-03,genMusic02,14,-2.7453834131458724e-10,0.6422057713469534
sub-03,genMusic02,15,-3.939816429083594e-11,0.9910766149260927
sub-03,genMusic02,16,-3.9360673654119934e-11,0.9898828484035405
sub-03,genMusic02,17,-4.372090636678948e-11,0.9946979925592022
sub-03,genMusic02,18,-4.3820318430782e-11,0.9932686009356053
sub-03,genMusic02,19,-5.248156314044031e-11,0.052043166284133205
sub-03,genMusic02,20,-5.24339820349523e-11,0.052103763813669164
sub-03,genMusic02,21,-4.103715393195433e-11,0.0956423574049159
sub-03,genMusic02,22,-4.106033068302023e-11,0.09560768530411198
sub-03,genMusic02,23,-1.0952475695159467e-10,1.0567017824063833
sub-03,genMusic02,24,-1.0919300347984769e-10,1.0586507501991522
sub-03,genMusic03,1,-2.9401555985272194e-11,0.05820940094151386
sub-03,genMusic03,2,-2.938082891618283e-11,0.05824151702915907
sub-03,genMusic03,3,-2.812158516569212e-10,0.17884298179960487
sub-03,genMusic03,4,-2.81260785166497e-10,0.17894429838882703
sub-03,genMusic03,5,-2.8013184107328615e-11,0.043538500455767334
sub-03,genMusic03,6,-2.8013184107328615e-11,0.043538500455767334
sub-03,genMusic03,7,-2.815848089197161e-11,0.044866692016046796
sub-03,genMusic03,8,-2.8227189020664276e-11,0.04482027667883802
sub-03,genMusic03,9,-3.0138255407756014e-11,0.05740792959144844
sub-03,genMusic03,10,-3.016015614845172e-11,0.05740816903643984
sub-03,genMusic03,11,-1.4084400322915234e-10,0.1809246658534141
sub-03,genMusic03,12,-1.4126618682602807e-10,0.1807693227266734
sub-03,genMusic03,13,-4.000621983836869e-11,0.03054311496999217
sub-03,genMusic03,14,-4.005137581149735e-11,0.030515109937451844
sub-03,genMusic03,15,-4.357817423140429e-11,0.030113070944453816
sub-03,genMusic03,16,-4.3594510120814815e-11,0.030109655760003136
sub-03,genMusic03,17,-4.619818806908656e-11,0.02686585275803722
sub-03,genMusic03,18,-4.611060919767005e-11,0.02689973775565458
sub-03,genMusic03,19,-4.67211798445095e-11,0.041372264759954355
sub-03,genMusic03,20,-4.6777261577350556e-11,0.04139107937941663
sub-03,genMusic03,21,-5.032088076957692e-11,0.06393218397928395
sub-03,genMusic03,22,-5.0312394445284686e-11,0.0640308146243147
sub-03,genMusic03,23,-4.312576337081868e-11,0.03815585731598257
sub-03,genMusic03,24,-4.312511914447103e-11,0.03817237159816918
