task_bids,window,channel,band,pct_change
classicalMusic,Onset,Fp1,Delta,0.004478945912870204
classicalMusic,Onset,Fp2,Delta,23.676180461273344
classicalMusic,Onset,F3,Delta,26.57312619952603
classicalMusic,Onset,F4,Delta,6.3226140372780595
classicalMusic,Onset,C3,Delta,91.97722779607373
classicalMusic,Onset,C4,Delta,46.044046186929165
classicalMusic,Onset,P3,Delta,69.49825380100056
classicalMusic,Onset,P4,Delta,159.0487955530259
classicalMusic,Onset,O1,Delta,20.77001343974863
classicalMusic,Onset,O2,Delta,51.18949145766844
classicalMusic,Onset,F7,Delta,60.31541287691726
classicalMusic,Onset,F8,Delta,49.881795099022426
classicalMusic,Onset,T7,Delta,87.43510909227574
classicalMusic,Onset,T8,Delta,41.56083379204381
classicalMusic,Onset,P7,Delta,37.93575142341386
classicalMusic,Onset,P8,Delta,62.67345404227488
classicalMusic,Onset,Fz,Delta,14.529491231483068
classicalMusic,Onset,Cz,Delta,6.825931584516222
classicalMusic,Onset,Pz,Delta,23.92391555704525
classicalMusic,Onset,Oz,Delta,21.21691919009152
classicalMusic,Onset,FC1,Delta,45.15111894855414
classicalMusic,Onset,FC2,Delta,13.106090024374526
classicalMusic,Onset,CP1,Delta,80.95666290396808
classicalMusic,Onset,CP2,Delta,35.13565980172334
classicalMusic,Onset,FC5,Delta,62.1603541429238
classicalMusic,Onset,FC6,Delta,74.04693427626289
classicalMusic,Onset,CP5,Delta,103.2437735285348
classicalMusic,Onset,CP6,Delta,132.30697210756065
classicalMusic,Onset,TP9,Delta,102.72208886111045
classicalMusic,Onset,TP10,Delta,86.53104524000685
classicalMusic,Onset,POz,Delta,24.243920699880924
classicalMusic,2s Post,Fp1,Delta,62.52266350377994
classicalMusic,2s Post,Fp2,Delta,81.98921416550432
classicalMusic,2s Post,F3,Delta,28.367088962914075
classicalMusic,2s Post,F4,Delta,-16.709642768593795
classicalMusic,2s Post,C3,Delta,73.5123413483576
classicalMusic,2s Post,C4,Delta,31.091251656875873
classicalMusic,2s Post,P3,Delta,39.414422346736956
classicalMusic,2s Post,P4,Delta,70.51728639698617
classicalMusic,2s Post,O1,Delta,9.446811438836482
classicalMusic,2s Post,O2,Delta,50.5140323206068
classicalMusic,2s Post,F7,Delta,44.22330085504492
classicalMusic,2s Post,F8,Delta,8.308953181854328
classicalMusic,2s Post,T7,Delta,54.36416340435698
classicalMusic,2s Post,T8,Delta,23.497644790772938
classicalMusic,2s Post,P7,Delta,-9.947597817864278
classicalMusic,2s Post,P8,Delta,36.02619183668433
classicalMusic,2s Post,Fz,Delta,16.432850690065234
classicalMusic,2s Post,Cz,Delta,30.626841560588815
classicalMusic,2s Post,Pz,Delta,56.19455898713152
classicalMusic,2s Post,Oz,Delta,24.341936189748328
classicalMusic,2s Post,FC1,Delta,38.70746119488855
