subject,task_key,task_bids,band,channel,power
01,classical,classicalMusic,Delta,Fp1,6.265098791291918e-11
01,classical,classicalMusic,Delta,Fp2,4.582012163658971e-11
01,classical,classicalMusic,Delta,F3,4.487360991534109e-11
01,classical,classicalMusic,Delta,F4,8.964398394343842e-10
01,classical,classicalMusic,Delta,C3,4.1573716036673955e-11
01,classical,classicalMusic,Delta,C4,3.523835183148282e-11
01,classical,classicalMusic,Delta,P3,1.1706748150639401e-09
01,classical,classicalMusic,Delta,P4,2.4101790559127276e-11
01,classical,classicalMusic,Delta,O1,2.7099847275632562e-11
01,classical,classicalMusic,Delta,O2,2.602077303614e-11
01,classical,classicalMusic,Delta,F7,2.0607494661694593e-10
01,classical,classicalMusic,Delta,F8,6.713691522765759e-11
01,classical,classicalMusic,Delta,T7,1.274226571661623e-10
01,classical,classicalMusic,Delta,T8,1.674716174134509e-10
01,classical,classicalMusic,Delta,P7,7.413684460748164e-11
01,classical,classicalMusic,Delta,P8,9.256312116447384e-11
01,classical,classicalMusic,Delta,Fz,1.8810950216278475e-11
01,classical,classicalMusic,Delta,Cz,2.090929595574134e-11
01,classical,classicalMusic,Delta,Pz,2.1644313766572337e-11
01,classical,classicalMusic,Delta,Oz,2.376688272181266e-11
01,classical,classicalMusic,Delta,FC1,2.538923278132535e-11
01,classical,classicalMusic,Delta,FC2,1.6331806439979154e-11
01,classical,classicalMusic,Delta,CP1,6.238002582710778e-10
01,classical,classicalMusic,Delta,CP2,9.880223956427604e-11
01,classical,classicalMusic,Delta,FC5,6.587518385732942e-11
01,classical,classicalMusic,Delta,FC6,4.229278855919836e-11
01,classical,classicalMusic,Delta,CP5,5.765404971534855e-11
01,classical,classicalMusic,Delta,CP6,4.0535229557116756e-11
01,classical,classicalMusic,Delta,TP9,2.70621534208802e-09
01,classical,classicalMusic,Delta,TP10,1.3325276418316976e-10
01,classical,classicalMusic,Delta,POz,6.003670707174228e-11
01,classical,classicalMusic,Alpha,Fp1,1.484005191987347e-11
01,classical,classicalMusic,Alpha,Fp2,1.6344419527234773e-11
01,classical,classicalMusic,Alpha,F3,4.6837664893667475e-12
01,classical,classicalMusic,Alpha,F4,1.3624759459490492e-10
01,classical,classicalMusic,Alpha,C3,3.0299196722615486e-12
01,classical,classicalMusic,Alpha,C4,3.3034409105205556e-12
01,classical,classicalMusic,Alpha,P3,6.063730558134331e-11
01,classical,classicalMusic,Alpha,P4,3.7272203613299584e-12
01,classical,classicalMusic,Alpha,O1,3.209058794497856e-11
01,classical,classicalMusic,Alpha,O2,2.2283396386728306e-11
01,classical,classicalMusic,Alpha,F7,3.5472957800111284e-11
01,classical,classicalMusic,Alpha,F8,1.7692040137494014e-11
01,classical,classicalMusic,Alpha,T7,2.3692320476370167e-11
01,classical,classicalMusic,Alpha,T8,1.3974265162281976e-11
01,classical,classicalMusic,Alpha,P7,2.971010834726976e-11
01,classical,classicalMusic,Alpha,P8,1.8852089212869227e-11
01,classical,classicalMusic,Alpha,Fz,3.9123146433393165e-12
01,classical,classicalMusic,Alpha,Cz,2.0354911629615107e-12
01,classical,classicalMusic,Alpha,Pz,3.887257194535975e-12
01,classical,classicalMusic,Alpha,Oz,2.278199182466107e-11
01,classical,classicalMusic,Alpha,FC1,2.8478883286813505e-12
01,classical,classicalMusic,Alpha,FC2,3.131984585280305e-12
01,classical,classicalMusic,Alpha,CP1,1.881471320828579e-11
