task_bids,window,channel,theta_power
classicalMusic,5s Before Onset,Fp1,8.327161108486096e-11
classicalMusic,5s Before Onset,Fp2,4.999992143816738e-11
classicalMusic,5s Before Onset,F3,7.165818377246638e-11
classicalMusic,5s Before Onset,F4,4.625069027709093e-11
classicalMusic,5s Before Onset,C3,5.7633403312526005e-11
classicalMusic,5s Before Onset,C4,5.172218366134934e-11
classicalMusic,5s Before Onset,P3,2.885080616496232e-11
classicalMusic,5s Before Onset,P4,3.8723164981256916e-11
classicalMusic,5s Before Onset,O1,4.709356058258096e-11
classicalMusic,5s Before Onset,O2,5.093452261383153e-11
classicalMusic,5s Before Onset,F7,1.7802302903012145e-10
classicalMusic,5s Before Onset,F8,1.616524011098842e-10
classicalMusic,5s Before Onset,T7,1.8493730473839736e-10
classicalMusic,5s Before Onset,T8,2.0214748183300987e-10
classicalMusic,5s Before Onset,P7,1.5180996428787702e-10
classicalMusic,5s Before Onset,P8,1.5913824842599453e-10
classicalMusic,5s Before Onset,Fz,1.0271395390277246e-11
classicalMusic,5s Before Onset,Cz,4.308032959456313e-12
classicalMusic,5s Before Onset,Pz,5.035966253337925e-12
classicalMusic,5s Before Onset,Oz,4.369342282924357e-11
classicalMusic,5s Before Onset,FC1,2.028993316290215e-11
classicalMusic,5s Before Onset,FC2,1.2567676135132024e-11
classicalMusic,5s Before Onset,CP1,1.6258641587685457e-11
classicalMusic,5s Before Onset,CP2,1.68870373953322e-11
classicalMusic,5s Before Onset,FC5,1.4795004917225924e-10
classicalMusic,5s Before Onset,FC6,1.0374620211402556e-10
classicalMusic,5s Before Onset,CP5,9.180064227561324e-11
classicalMusic,5s Before Onset,CP6,9.277794832473413e-11
classicalMusic,5s Before Onset,TP9,1.397902784180774e-10
classicalMusic,5s Before Onset,TP10,2.7540984558611264e-10
classicalMusic,5s Before Onset,POz,2.3128755316202417e-11
classicalMusic,At Onset,Fp1,4.8034481082614305e-11
classicalMusic,At Onset,Fp2,2.8917010918741963e-11
classicalMusic,At Onset,F3,3.2470855096818506e-11
classicalMusic,At Onset,F4,3.484792557793526e-11
classicalMusic,At Onset,C3,2.5776910726206876e-11
classicalMusic,At Onset,C4,2.0379991232764314e-11
classicalMusic,At Onset,P3,1.4082709579271752e-11
classicalMusic,At Onset,P4,1.7598405134765018e-11
classicalMusic,At Onset,O1,2.6922073560279385e-11
classicalMusic,At Onset,O2,3.2200698461373116e-11
classicalMusic,At Onset,F7,9.400127208356983e-11
classicalMusic,At Onset,F8,7.535490810081496e-11
classicalMusic,At Onset,T7,6.515887201198106e-11
classicalMusic,At Onset,T8,7.960993870186013e-11
classicalMusic,At Onset,P7,5.851023580951485e-11
classicalMusic,At Onset,P8,7.497860092419369e-11
classicalMusic,At Onset,Fz,9.69015596973664e-12
classicalMusic,At Onset,Cz,4.320469816972288e-12
classicalMusic,At Onset,Pz,4.7894652395356235e-12
classicalMusic,At Onset,Oz,3.24321604122088e-11
classicalMusic,At Onset,FC1,1.2289441424969391e-11
classicalMusic,At Onset,FC2,6.453106081835646e-12
classicalMusic,At Onset,CP1,7.952791654744826e-12
classicalMusic,At Onset,CP2,7.87745261791844e-12
classicalMusic,At Onset,FC5,5.611148435579869e-11
classicalMusic,At Onset,FC6,4.6128755140274004e-11
classicalMusic,At Onset,CP5,3.060726745917086e-11
classicalMusic,At Onset,CP6,3.77433810068312e-11
classicalMusic,At Onset,TP9,9.05384806766841e-11
classicalMusic,At Onset,TP10,1.2381715578165762e-10
classicalMusic,At Onset,POz,1.297886922632518e-11
classicalMusic,5s After Onset,Fp1,7.119247023236462e-11
classicalMusic,5s After Onset,Fp2,4.4283426698287424e-11
classicalMusic,5s After Onset,F3,5.777591112277624e-11
classicalMusic,5s After Onset,F4,4.8167624689548885e-11
classicalMusic,5s After Onset,C3,4.639277993576226e-11
classicalMusic,5s After Onset,C4,4.145145166697429e-11
classicalMusic,5s After Onset,P3,2.991761923114181e-11
classicalMusic,5s After Onset,P4,3.065947959177077e-11
classicalMusic,5s After Onset,O1,2.9054740598205534e-11
classicalMusic,5s After Onset,O2,4.21463832614282e-11
classicalMusic,5s After Onset,F7,1.7193512544055577e-10
classicalMusic,5s After Onset,F8,1.3221546628309085e-10
classicalMusic,5s After Onset,T7,1.3747934753704013e-10
classicalMusic,5s After Onset,T8,1.5271756633109977e-10
classicalMusic,5s After Onset,P7,1.0237304892437311e-10
classicalMusic,5s After Onset,P8,1.2655181113988489e-10
classicalMusic,5s After Onset,Fz,9.176672385627176e-12
classicalMusic,5s After Onset,Cz,4.024267291472022e-12
classicalMusic,5s After Onset,Pz,5.403919638400565e-12
classicalMusic,5s After Onset,Oz,3.57665831658711e-11
classicalMusic,5s After Onset,FC1,1.773538571616835e-11
classicalMusic,5s After Onset,FC2,8.672341060326799e-12
classicalMusic,5s After Onset,CP1,1.4719847068123985e-11
classicalMusic,5s After Onset,CP2,1.102033204172284e-11
classicalMusic,5s After Onset,FC5,1.1474403430726758e-10
classicalMusic,5s After Onset,FC6,8.683334453558946e-11
classicalMusic,5s After Onset,CP5,6.446688813688045e-11
classicalMusic,5s After Onset,CP6,7.03651209607375e-11
classicalMusic,5s After Onset,TP9,1.5480964652763354e-10
classicalMusic,5s After Onset,TP10,2.0979751700422206e-10
classicalMusic,5s After Onset,POz,1.71158545538076e-11
genMusic01,5s Before Onset,Fp1,6.723372249179064e-11
genMusic01,5s Before Onset,Fp2,4.2127439166083135e-11
genMusic01,5s Before Onset,F3,4.1069295374256214e-11
genMusic01,5s Before Onset,F4,2.4692219772637398e-11
genMusic01,5s Before Onset,C3,2.8563721687541234e-11
genMusic01,5s Before Onset,C4,2.1808325269964425e-11
genMusic01,5s Before Onset,P3,1.5405649642377355e-11
genMusic01,5s Before Onset,P4,2.0816210907255362e-11
genMusic01,5s Before Onset,O1,2.6488754126876428e-11
genMusic01,5s Before Onset,O2,3.380021839441768e-11
genMusic01,5s Before Onset,F7,1.1503060911093955e-10
genMusic01,5s Before Onset,F8,8.133370548055699e-11
genMusic01,5s Before Onset,T7,7.751762637401117e-11
genMusic01,5s Before Onset,T8,9.541658516550803e-11
genMusic01,5s Before Onset,P7,7.975005376943059e-11
genMusic01,5s Before Onset,P8,8.326123636432195e-11
genMusic01,5s Before Onset,Fz,8.736549754760297e-12
genMusic01,5s Before Onset,Cz,3.4999080730315822e-12
